addr,total,success,fail
0x23ce9e926048273ef83be0a3a8ba9cb6d45cd978,12,12,0
0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,485,485,0
0xf61f3c9cecb8d206dea1faed99a693e6d3baaef2,84,16,68
0x532e5efded726c6dde5228f35d805f531c14b0eb,110,3,107
0x8686525d6627a25c68de82c228448f43c97999f2,278,81,197
0x9f4909cc95fb870bf48c128c1fdbb5f482797632,142,41,101
0x0cba81ba02c58a4c2c160fdd2e7411ad9cdf5dbe,170,2,168
0x652d68c39d3545714d9bf4616f778424a34cf603,137,134,3
0xa51cee4dd9a4e254dd5b8923024de5aab050391d,114,54,60
0x8c9317a16fa01c0227a01e728d3069e0575a8d5c,137,6,131
0x4dfcad285ef39fed84e77edf1b7dbc442565e55e,100,47,53
0xa7e0719a65128b2f6cdbc86096753ff7d5962106,80,80,0
0x398aea1c9ceb7de800284bb399a15e0efe5a9ec2,58,58,0
0x06daf7e34595f9d3260dd5262dca8e3bcfeb39d5,432,290,142
0xe09fde5ae0a90fc86ede741bf5d8d307a372e2fc,51,17,34
0xb0aeb224a915f7bd0460e21f55a213e5f6075523,21,20,1
0x085cc3b02a29d85c2cc314e1875d52c4e33386d7,87,5,82
0x4cd0ea8b1bdb5ab9249d96ccf3d8a0d3ada2bc76,152,147,5
0xdbbc658455c3fde5e5eabdcb2f0e53a585e9ed9d,39,2,37
0xe28b3b32b6c345a34ff64674606124dd5aceca30,281,281,0
0x39207d2e2feef178fbda8083914554c59d9f8c00,79,2,77
0x041259e02464cac4b4a8abf89d249ab15daeab73,73,55,18
0x62efd38a5efd7cfdb1c6e1c50f3083af636d1b40,120,70,50
0x23df60c63bf9b5bc78f9328f6b864768a0483cb0,144,69,75
0xd2aad45015090f8d45ad78e456b58dd61fb7cd79,204,93,111
0x5f1cbe84d44e292fe3eae51b87f34bbdc8f04fc8,210,9,201
0xfa347ed0f9b0c3607b6531f0559bf28bfc4e3d28,77,42,35
0x1894852504288219fa835af44528571d543958a1,51,17,34
0x38ec27c6f05a169e7ed03132bca7d0cfee93c2c5,81,81,0
0xba100000625a3754423978a60c9317c58a424e3d,407,239,168
0x21381e026ad6d8266244f2a583b35f9e4413fa2a,111,111,0
0x31c823260528ba98e3bf797b2add2302af097392,165,4,161
0xcfe17f8d1bc8c35a55487b917579fa3945ddfe0f,162,32,130
