addr,total,success,fail
0x3e5d9d8a63cc8a88748f229999cf59487e90721e,129,14,115
0x1c4853ec0d55e420002c5efabc7ed8e0ba7a4121,92,3,89
0x33d203fa03bb30b133de0fe2d6533c268ba286b6,159,1,158
0x97ca7fe0b0288f5eb85f386fed876618fb9b8ab8,345,4,341
0x5fc045f01a83bd0bfa755815cfc1238f6a0f7d1d,186,20,166
0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,130,13,117
0xfe5f69dfa2d4501e78078266f6d430c079098f90,209,1,208
0x6399c842dd2be3de30bf99bc7d1bbf6fa3650e70,132,1,131
0x1afb69dbc9f54d08dab1bd3436f8da1af819e647,43,11,32
0xcc6c340b722fb9f4551ad45939fd1457f0e218c6,195,2,193
0x3bcf909d564bdac5d7ead28a99664643aabe961a,27,26,1
0x45348f717d9ed95e89ac081b03b7e3aea423cd98,34,0,34
0x9a534628b4062e123ce7ee2222ec20b86e16ca8f,277,17,260
0x01cecf7a8f0095fa622ff03d714fd2244548da35,69,21,48
0x9d418c2cae665d877f909a725402ebd3a0742844,256,21,235
0xbc7250c8c3eca1dfc1728620af835fca489bfdf3,241,5,236
0x805c09e9e312b5bc1b747cffe64e2d8926270d78,78,1,77
0x961c8c0b1aad0c0b10a51fef6a867e3091bcef17,182,4,178
0x3491ead95de2f4a945c2ead3c3afe7747f2ae373,57,18,39
0xa55d9ef16af921b70fed1421c1d298ca5a3a18f1,45,0,45
0x31429d1856ad1377a8a0079410b297e1a9e214c2,104,39,65
0xc5fd1f4dcc8678c5cf5820e096b6db0a10aeeed1,115,3,112
0x4a81f77c8bbca2cba8110279cdbc9f1a8d3eae6b,243,0,243
0x2de72ada48bdf7bac276256d3f016fe058490c34,165,2,163
0xd3a517536da3491db848d260c1f3d81883b1aa7a,212,5,207
0x8392f6669292fa56123f71949b52d883ae57e225,456,343,113
0x9b0a29e23d4f1c0fa692c5fc73e05debe60579d2,71,12,59
0x84c722e6f1363e8d5c6db3ea600bef9a006da824,94,85,9
0x438626ba0a4776cf5d27581bdfb03b9633dc0a92,258,19,239
0xb33440566865f4433e28f90f61f0a8ec334b761e,70,1,69
0x384b6066cd1e0aea770790b3162a754b26ac5f15,311,0,311
0x3a00c557a2a0b7d4c5e05679c7904a970e5caccd,283,7,276
0xfd5a48faf70433437079ec4da290556b187732c7,31,31,0
0x9f1bf310f74c9674bb3ceb538fcdb7f8dfba3f0d,53,2,51
0xdc193fa6f30635e569ae23f1bd61c9aa9f522044,144,0,144
0x3c03b4ec9477809072ff9cc9292c9b25d4a8e6c6,179,4,175
0xda30f261a962d5aae94c9ecd170544600d193766,26,2,24
0x0e42fb5f6c542a8a027e09ec71380cbb44dbbf5a,95,52,43
0xb9ef770b6a5e12e45983c5d80545258aa38f3b78,269,266,3
0x7f0693074f8064cfbcf9fa6e5a3fa0e4f58ccccf,49,49,0
0xeff3f1b9400d6d0f1e8805bdde592f61535f5ecd,63,56,7
0x6ae42c0242ec9a6960b89d5a88d9c3406be31bd1,449,7,442
0x06fcbf38e823efc1e609b9491aab546334c6ee69,96,52,44
0x4acf80143e386a2cf97a9ef9d6fb50103f20f087,36,0,36
0x5465a6f97b6c8b9016611de75508404fb5704ab6,126,1,125
0x5db3445c2c6ee45a2923ce96e17d9b7ed60b0e61,428,5,423
0x4d8161421e3794b987e83a0ee6371c17bff69348,39,2,37
0xe7623b874531eb96e049f9d5a47ad14bd25ce28d,130,0,130
0x7dfb72a2aad08c937706f21421b15bfc34cba9ca,71,70,1
0xeee01e9364c2bf5aff24328fb5bdfb98ff5ceee3,202,2,200
0xff80bd43e3f0e414afc70cb8ac1d3f0e6a303a2f,89,22,67
0x21a961f46d40085094a7d0e729c99141e68969eb,44,15,29
0xd2dda223b2617cb616c1580db421e4cfae6a8a85,251,116,135
0x5b31b8ca1770cf1f817146b4cd2078bf8629bf8a,26,24,2
0xc9da65931abf0ed1b74ce5ad8c041c4220940368,33,33,0
0x80d4914685ba4bca07a995bb160a8fc4cd4de5b6,200,35,165
0xbe50283a23cf952e78272d41adcf7ffad711b637,36,14,22
0x6c936d4ae98e6d2172db18c16c4b601c99918ee6,107,10,97
0xbd6442e65789bdc6a10f09bd13f7320337c5a38e,91,1,90
0xd478161c952357f05f0292b56012cd8457f1cfbf,210,107,103
0xf1a827c1fcbf26ac7c079039c50f633ab7a550bf,90,1,89
0xd30e98f68c1a42b1754ffe5de31841fb33d54870,94,3,91
0x5755ab845ddeab27e1cfce00cd629b2e135acc3d,146,3,143
0x53d690ac1c13e7ee2660fc31f7b36ffcdb7f2f42,20,0,20
0x5e30aaf41b0dff94672c8daf941a1fec5b8b6aaa,107,0,107
0xeba596f75b5b9f42ba75cf05912217134cb0d7c8,178,43,135
0xcd34bd199dd4cc11311ce62123081a83db6b44e2,210,1,209
0x47d748c9babd5cca642f9f98e07442c0b5b04d2f,410,0,410
0xac57de9c1a09fec648e93eb98875b212db0d460b,135,3,132
0x23ce9e926048273ef83be0a3a8ba9cb6d45cd978,12,12,0
0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,485,485,0
0xf61f3c9cecb8d206dea1faed99a693e6d3baaef2,84,3,81
0x532e5efded726c6dde5228f35d805f531c14b0eb,110,2,108
0x8686525d6627a25c68de82c228448f43c97999f2,278,4,274
0x9f4909cc95fb870bf48c128c1fdbb5f482797632,142,0,142
0x8c9317a16fa01c0227a01e728d3069e0575a8d5c,137,7,130
0x4dfcad285ef39fed84e77edf1b7dbc442565e55e,100,44,56
0xa7e0719a65128b2f6cdbc86096753ff7d5962106,80,78,2
0x398aea1c9ceb7de800284bb399a15e0efe5a9ec2,58,55,3
0x085cc3b02a29d85c2cc314e1875d52c4e33386d7,87,0,87
0x4cd0ea8b1bdb5ab9249d96ccf3d8a0d3ada2bc76,152,6,146
