addr,total,success,fail
0x7778360f035c589fce2f4ea5786cbd8b36e5396b,91,6,85
0x5047aa3b10286fe2c9b98972ff4e352eefcf4dfe,23,0,23
0xcb54762349709374c3fc9763155165c5fe90e0eb,205,2,203
0xb2d4415a5b0269463f5ab9bcddc3e388caf1be03,385,122,263
0x79a06acb8bdd138beeecce0f1605971f3ac7c09b,183,41,142
0xd6a152c351588eec72556bc9769d9b22f37bfbf1,133,16,117
0xcfb152e5b93fc2c9906d4ff41fc8407dfa5e8851,86,14,72
0x1eb6951c148fe0ba8f3cdf1dc807bb22ff094ba4,84,58,26
0x0e1f990d264a9818460dde1b81c0b04d8a88e751,36,11,25
0x13d66dbace34218fddaf50f7057092a43507adef,177,91,86
0x396882c0f9f26c3e425a2b5888a6e0e75bc06234,304,36,268
0x3efea7300f538aa71781613679b1acd97a60df8d,69,66,3
0xa258c4606ca8206d8aa700ce2143d7db854d168c,264,264,0
0x9b27dd5bb15d42dc224fcd0b7caebbe16161df42,7,7,0
0x2e2691819d3441994e9709e776bd77d08cd9e89b,63,32,31
0xd8adb97480e8ee2a8e58db53b6e485613cb7d131,64,46,18
0x67e6e27da4aead180d1b1dd220aa7cb1d3a60b73,160,34,126
0xf59481d45d7a2e7c8a2f0ef9114309d6f45438da,31,25,6
0x7828c811636ccf051993c1ec3157b0b732e55b23,173,58,115
0x51fe2e572e97bfeb1d719809d743ec2675924edc,277,277,0
0x3b2c32363f8a61de868708dc6d0054246b5c98dd,55,53,2
0x5180db8f5c931aae63c74266b211f580155ecac8,384,61,323
0x9b6db880376d0dbbcadea88f7c9bac253b2308c5,59,50,9
0x2b1bb7efd69f45d1fc31fc50f0c73c1069e9ac7f,33,19,14
0x42dddba609589322e5c6133939ddd20941f9abb2,379,379,0
0x72a06bf2a1ce5e39cba06c0cab824960b587d64c,427,44,383
0x0453435725ccb8aaa1ab52474dcb12aef220679e,82,77,5
0x13de9c328622ede0cfcc711e774ac30d6a62c58f,106,106,0
0xaa20f900e24ca7ed897c44d92012158f436ef791,355,51,304
0x0e0fc97e5337478830f30dda023339607ad1ba4c,64,49,15
0xf859a1ad94bcf445a406b892ef0d3082f4174088,465,465,0
0xc9eea096c23aabc60207a3804dc73b1ffb32cafd,47,46,1
0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,354,154,200
0x5691d95d42131742196b1d1ebd02fcfc7edae5c3,133,30,103
0x1d69a5cee83381459a2589828df5e8d82ca2cb88,133,99,34
0xfa3118b34522580c35ae27f6cf52da1dbb756288,114,114,0
0x925f7eb0fe634702049a1344119d4046965b5c8c,85,38,47
0xb71b0a17e21a0d1bf4f07858bcd6b18a985467e5,113,96,17
0x4ee7104442ac3fea5665143da9ede79beee8519c,185,164,21
0x66b5fbc506ef9b884b7d5496d37b109578288d7c,84,7,77
0x39c45666b72c1d06d0a76858c0aadad3f697e026,78,55,23
0xf4efd3d0c43a6a7e6a43baf306536cd6d6643553,218,21,197
0x34b09150783499056b2e04a94c25814fe6ac1c7b,113,26,87
0x4cec571394ee433cd21390286284abecacc0e98f,245,245,0
0xcb8ca05ea094738f982037900c997672156416c2,23,21,2
0xae667177ca6793e402e57a392a336849d6885114,157,5,152
0xf8a8db29a9fba05ac4e36b8d7df6d47d120247fd,304,55,249
0x8f369ae35bce72a50f1188b96d516fab425511c9,186,69,117
0x12bb5bf8a166098e1839d3f1396d73ac3fe42926,148,148,0
0x32d74896f05204d1b6ae7b0a3cebd7fc0cd8f9c7,128,37,91
0xa4eed63db85311e22df4473f87ccfc3dadcfa3e3,211,96,115
0x175d5a6f4e14f3cc685a88617d1144094e7f6098,178,176,2
0x5067006f830224960fb419d7f25a3a53e9919bb0,69,44,25
0x9234f65147cac2eebe251a1c0376f13db1384fe8,39,26,13
0x8f55d7c21bdff1a51afaa60f3de7590222a3181e,98,3,95
0x81b75fb6d271805c67c85caf35f94583a746ac09,50,45,5
0xcbccbb06f572df174a7da47684cdc28121fec421,56,4,52
0x32e136be91606c645ff62ff7075b2f0472fa13e1,207,58,149
0xc5bbae50781be1669306b9e001eff57a2957b09d,436,436,0
0x919d43d3811ccbbeed3345f7994c68a9d5f53372,37,22,15
0x10a543ed2b41e011d91f2de2d8f0229c864861e5,123,76,47
0x0f655baba887ef60a8e73918f2d5ec6b3d09559d,68,20,48
0x4195f278d75f30b5fbbeb5a4244a8af7259abb45,466,428,38
0xfb76f849baf4a4db22550ebc7beb520652f888a0,76,56,20
0x7b2f7f95a0565b16aa69fdee6b945ccdc5f5ca29,78,75,3
0xfa1a856cfa3409cfa145fa4e20eb270df3eb21ab,386,386,0
0xf7143ba42d40eaeb49b88dac0067e54af042e963,286,191,95
0xb0eda4f836af0f8ca667700c42fcefa0742ae2b5,112,45,67
0x506e30de46b3d8cd56e2be747b559654e40e42c4,122,23,99
0x751a86a2506bbf30e04fdb493017bebde5c0fef9,65,65,0
0x4b0f027d0b694aae2761ed2d426295d4f949f5d0,118,6,112
0xa8cd4a74f03a6115529b00ee2fe646e5e4100e75,38,33,5
0x368f51eec801500e26aa730201b21d36c46ebd6e,75,51,24
0x1be56412c9606e7285280f76a105eba56996e491,90,74,16
0xddb149ae8e6635df01a530da1e46921bd78dc385,285,20,265
0xa5def515cfd373d17830e7c1de1639cb3530a112,83,34,49
0x85057ef13bfd8c1faf70768bfe870c0c2e8e61cc,167,11,156
0xd450b8f443ffbb76300d4fa10a1900f61b273b31,171,20,151
0xf4fca207bf7629c947ab699a0159d88dec189cc3,35,26,9
0xa80f2c8f61c56546001f5fc2eb8d6e4e72c45d4c,240,18,222
0x7e6bc952d4b4bd814853301bee48e99891424de0,303,248,55
0xe3234e57ac38890a9136247eadfe1860316ff6ab,222,6,216
