addr,result,time,error_info
0x98779a737c6dea58c4b0e818a13188a5d09fb26c,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x98779a737c6dea58c4b0e818a13188a5d09fb26c.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x223b204e95f85acbe460b5059f73659eee1e7495,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x223b204e95f85acbe460b5059f73659eee1e7495.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0xe2553b0989e96ac352f71a8710607da2bf209dba,Success,67.72932052612305,
0x673e23b28fe82f1db183c5d75446bc4eb572d711,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x673e23b28fe82f1db183c5d75446bc4eb572d711.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0xd9b312d77bc7bed9b9cecb56636300bed4fe5ce9,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0xd9b312d77bc7bed9b9cecb56636300bed4fe5ce9.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x7d5121505149065b562c789a0145ed750e6e8cdd,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x7d5121505149065b562c789a0145ed750e6e8cdd.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x20a8cec5fffea65be7122bcab2ffe32ed4ebf03a,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x20a8cec5fffea65be7122bcab2ffe32ed4ebf03a.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x67b93e51633e6c19d6bd09f19a68e684f5a94dfb,Success,23.433762550354004,
0x67d2f36db53369e23772b26d0935d82d890ad850,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x67d2f36db53369e23772b26d0935d82d890ad850.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0xe243cc1f37eeb9348d53b9b06cc46d34454eec37,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0xe243cc1f37eeb9348d53b9b06cc46d34454eec37.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x44a02d74b5b8b50511e58490dc7d450a887b36f8,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x44a02d74b5b8b50511e58490dc7d450a887b36f8.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x925f7eb0fe634702049a1344119d4046965b5c8c,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x925f7eb0fe634702049a1344119d4046965b5c8c.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x26baebef64ba69705adff49d3c10bf8ed5fe1573,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x26baebef64ba69705adff49d3c10bf8ed5fe1573.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x5a666c7d92e5fa7edcb6390e4efd6d0cdd69cf37,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x5a666c7d92e5fa7edcb6390e4efd6d0cdd69cf37.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x01597e397605bf280674bf292623460b4204c375,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x01597e397605bf280674bf292623460b4204c375.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x1bf47e4f2e9078c30914e33134b21c952b55c64b,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x1bf47e4f2e9078c30914e33134b21c952b55c64b.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
0x3c17017f5a584628cf8cb579a38455dbbf3f93e7,Error,0,"Command '['myth', 'analyze', '-f', '/opt/mythril/my_folder/tmp/tmp_file', '-g', '/opt/mythril/my_folder/results/0x3c17017f5a584628cf8cb579a38455dbbf3f93e7.html', '--bin-runtime', '--execution-timeout', '10000']' timed out after 120 seconds"
